"day","month","year","time","speed_limit","maximum_speed","vehicles_count","hourly_count","LAT","LNG"
1,5,2016,4,0,0,0,46,-37.81296,144.963769
1,5,2016,4,0,0,0,5,-37.815329,144.973305
1,5,2016,4,0,0,0,2,-37.814334,144.972395
1,5,2016,4,0,0,0,8,-37.814457,144.973654
1,5,2016,4,0,0,0,37,-37.819493,144.954064
1,5,2016,4,0,0,0,6,-37.796674,144.964864
1,5,2016,4,0,0,0,12,-37.813911,144.969905
1,5,2016,4,0,0,0,32,-37.818121,144.95728
1,5,2016,4,0,0,0,38,-37.813887,144.964405
1,5,2016,4,0,0,0,3,-37.789285,144.968952
1,5,2016,4,0,0,0,30,-37.78881,144.965314
1,5,2016,4,0,0,0,39,-37.810551,144.970219
1,5,2016,4,0,0,0,85,-37.815961,144.966504
1,5,2016,4,0,0,0,23,-37.812161,144.956369
1,5,2016,4,0,0,0,185,-37.818271,144.967062
1,5,2016,4,0,0,0,73,-37.819031,144.954035
1,5,2016,4,0,0,0,237,-37.812227,144.962225
1,5,2016,4,0,0,0,115,-37.81083,144.963134
1,5,2016,4,0,0,0,12,-37.825394,144.953111
1,5,2016,4,0,0,0,4,-37.814252,144.942659
1,5,2016,4,0,0,0,105,-37.819261,144.968357
1,5,2016,4,0,0,0,61,-37.80758,144.956785
1,5,2016,4,0,0,0,8,-37.80758,144.956785
1,5,2016,4,0,0,0,246,-37.812646,144.959686
1,5,2016,4,0,0,0,100,-37.820034,144.963055
1,5,2016,4,0,0,0,8,-37.798933,144.963945
1,5,2016,4,0,0,0,11,-37.818285,144.952776
1,5,2016,4,0,0,0,40,-37.809809,144.96519
1,5,2016,4,0,0,0,25,-37.821222,144.968534
1,5,2016,4,0,0,0,1,-37.806426,144.960759
1,5,2016,4,0,0,0,1,-37.815423,144.939177
1,5,2016,4,0,0,0,3,-37.823926,144.94719
1,5,2016,5,0,0,0,14,-37.808527,144.971467
1,5,2016,5,0,0,0,485,-37.817321,144.967349
1,5,2016,5,0,0,0,113,-37.815058,144.966617
1,5,2016,5,0,0,0,9,-37.821407,144.968775
1,5,2016,5,0,0,0,6,-37.800473,144.964411
1,5,2016,5,0,0,0,92,-37.813076,144.968004
1,5,2016,5,0,0,0,2,-37.815372,144.974894
1,5,2016,5,0,0,0,153,-37.817768,144.967191
1,5,2016,5,0,0,0,52,-37.812618,144.965491
1,5,2016,5,0,0,0,44,-37.81296,144.963769
1,5,2016,5,0,0,0,8,-37.815329,144.973305
1,5,2016,5,0,0,0,4,-37.814334,144.972395
1,5,2016,5,0,0,0,21,-37.814457,144.973654
1,5,2016,5,0,0,0,34,-37.819493,144.954064
1,5,2016,5,0,0,0,1,-37.796674,144.964864
1,5,2016,5,0,0,0,3,-37.813911,144.969905
1,5,2016,5,0,0,0,15,-37.818121,144.95728
1,5,2016,5,0,0,0,34,-37.813887,144.964405
1,5,2016,5,0,0,0,11,-37.789285,144.968952
1,5,2016,5,0,0,0,7,-37.78881,144.965314
1,5,2016,5,0,0,0,28,-37.810551,144.970219
1,5,2016,5,0,0,0,55,-37.815961,144.966504
1,5,2016,5,0,0,0,5,-37.812161,144.956369
1,5,2016,5,0,0,0,142,-37.818271,144.967062
1,5,2016,5,0,0,0,73,-37.819031,144.954035
1,5,2016,5,0,0,0,141,-37.812227,144.962225
1,5,2016,5,0,0,0,115,-37.81083,144.963134
1,5,2016,5,0,0,0,19,-37.825394,144.953111
1,5,2016,5,0,0,0,2,-37.814252,144.942659
1,5,2016,5,0,0,0,80,-37.819261,144.968357
1,5,2016,5,0,0,0,55,-37.80758,144.956785
1,5,2016,5,0,0,0,8,-37.80758,144.956785
1,5,2016,5,0,0,0,78,-37.812646,144.959686
1,5,2016,5,0,0,0,68,-37.820034,144.963055
1,5,2016,5,0,0,0,4,-37.798933,144.963945
1,5,2016,5,0,0,0,9,-37.818285,144.952776
1,5,2016,5,0,0,0,46,-37.809809,144.96519
1,5,2016,5,0,0,0,53,-37.821222,144.968534
1,5,2016,5,0,0,0,5,-37.806426,144.960759
1,5,2016,5,0,0,0,2,-37.815423,144.939177
